整租 | 《海伦春天》人人都喜欢风格 有家的感觉 干净整洁明亮,2200元/月,海伦春天,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE1k-wTzcBHIfX-rwhq7azCcgT9WSjAhmNCiqTFU8UTwcsvt1U-sqI4nhL2WHrTnZuKQqZu_fYqKLJd6HOrOZj32bQFBJxIZMOkUyGyD1TweOpeB-UK1L3QS9Rxa3utTEVFBMxon2YvDdyukPmMkDu62eFWvNPmTtZSggo8_utyfyOL46dYK_qEFT-1iM0Ga7-xWLwbW17c2BnSDbwK5_V16oj08mTC5as&local=3&pubid=28285198&apptype=0&psid=190413716199281110361427348&entinfo=33275061741233_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
单间 | 昌岗中路149号大院 蛋壳公寓直租 家具齐全 随时看,2200元/月,昌岗中路149号大院,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfo3lMQvFx_s7HJ6ygCrxVRQMf-5NvxKrSqhoxf-5-FgUnU4euQO08oaxlFAWS94umyqVfOEjN7kkKL5EgZP_B2z2bQFBJxIZMOkUyGyD1TweN3RaKjcjYRkArLm3uK5f2Ol2XwIndtRCGgKQ0eYVkaR_GGRNvaJU8EAay4HVAQQiUl5A6UFjXZ2KtzPhO3qjrinQ4q_ZPMmZAYNef2U7aPeA&local=3&pubid=28111087&apptype=0&psid=190413716199281110361427348&entinfo=33267546273733_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
单间 | 华保花园 环境优美 押一付一 双周保洁 免费宽带,2200元/月,华保花园,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfo-8s6trn-tKTz85TqvqXEpsf-5NvxKrSqhoxf-5-FgUmG6yfeQIt75u2z8ihUE6YheaxeIeD7J7DJd6HOrOZj32bQFBJxIZMOkUyGyD1TweN3RaKjcjYRkP3AJfj13M5trumnTkOZpmmgKQ0eYVkaR_GGRNvaJU8EJZ4Pal9Hd1Il5A6UFjXZ2KtzPhO3qjrinQ4q_ZPMmZAYNef2U7aPeA&local=3&pubid=28354361&apptype=0&psid=190413716199281110361427348&entinfo=33322504080429_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 电梯精装公寓 近地铁 天河上班优选 英伦工业风 即租,2200元/月,成龙花园,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEe6tkYpLz12urs-byIKkL1MgT9WSjAhmNyJvseErCvB3ZlF2AACQeOnhL2WHrTnZu06aLzSluhnKLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F47RL2AUSQ9uEzT47nN2kOZVIJ057leLrdqDMybbOabIFtVsJclUDY9aCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28162655&apptype=0&psid=190413716199281110361427348&entinfo=32401152083889_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 冠寓机场路店 2号线 交通发达 出现便利 全新装修新,2200元/月,环翠园小区,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE-ldI_vDAYxvk0CdYQa1ZAMgT9WSjAhmNb_kA3TFCj2---CEA2NTYCXhL2WHrTnZuZnJGpXTzepWLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F410KX_kwvhCM-QomxQsRifxIJ057leLrdqDMybbOabIFMze4CFzSEZGCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28373551&apptype=0&psid=190413716199281110361427348&entinfo=32679109773520_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 棠东东景尚寓 全新公寓 1房1厅 业主直租,2200元/月,毓南路12号小区,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEeeylRNGNFQsjr50GOGBGMMgT9WSjAhmNz9R9tEu4CJeoC71pbQXvzHhL2WHrTnZuRwkM7ZNMJTOLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F417pWj0YdlLHp2nO1oPRVw9IJ057leLrdqDMybbOabIFDPWp8BH6PaiCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28288726&apptype=0&psid=190413716199281110361427348&entinfo=33265849131341_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 新里程精装南向三房出租 近地铁 安静不吵望泳池 家私,2200元/月,万科新里程,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEpxPIWDh8yRSarZK7HIVMVcgT9WSjAhmNmo3LI9xC8qlGkwlEOI_5fHhL2WHrTnZuzQvzRPRLSDqLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F47MxZGmFONCX9LxgZiZbPx9IJ057leLrdqDMybbOabIFxDwAMxVlVliCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28332723&apptype=0&psid=190413716199281110361427348&entinfo=33312515636297_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 白云山脚下 云山居中层两房全新装修 可随时入住 门口,2200元/月,云山居,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE7Vw2vV3QAiMbjqi7bAo3P8gT9WSjAhmNSN-XLlZ92xIZ7F5W2sUyn3hL2WHrTnZuhO9jY2xYwSl2soj8ifH95mbQFBJxIZMOkUyGyD1TweOpeB-UK1L3QVZbHHv_bheSHq6kfE6LcYByukPmMkDu62eFWvNPmTtZAHKr8igqkUaOL46dYK_qEFT-1iM0Ga7-xWLwbW17c2BnSDbwK5_V16oj08mTC5as&local=3&pubid=28333850&apptype=0&psid=190413716199281110361427348&entinfo=33319550160437_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 奥园养生广场 2房1厅 精装修 出门方便 近地铁 拎,2200元/月,奥园养生广场,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE8KQpLN6LUQV39bHlvkws6sgT9WSjAhmNCKvNreTmGDnJFEZ7rqIMo3hL2WHrTnZu881ThfFqptuLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F45RxlRSi1t09Jht4WW0Icv9IJ057leLrdqDMybbOabIFbpo2MXyAtPWCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28383310&apptype=0&psid=190413716199281110361427348&entinfo=33330046031924_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 魔方公寓 临近机场路 三元里大道 远景路 万达广场,2200元/月,岗贝路32-1号商住楼,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE9-wPnxt-i652xcnT5xncjMgT9WSjAhmN53lwMK-XCN22gKiIYqOBInhL2WHrTnZuCJYCv8DOlWCLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F4-n094rc3iaJMilk4pEWaDxIJ057leLrdqDMybbOabIFvxzfkfsGvLmCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=27906070&apptype=0&psid=190413716199281110361427348&entinfo=33229826436142_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 龙光峰景华庭 二室二厅一卫 精装修 南向,2200元/月,龙光峰景华庭,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEZF60AKzDkpKHFTB_L3s2mcgT9WSjAhmN48749xPYWgFOdxNVDOxxonhL2WHrTnZuzQvzRPRLSDqLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F451Jd0MnW7JMx9AjfKc7znxIJ057leLrdqDMybbOabIFxDwAMxVlVliCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28169204&apptype=0&psid=190413716199281110361427348&entinfo=33256072959952_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 万科四季花城 两房电梯 保养好 这个价格经此一套,2200元/月,万科四季花城,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE-Bg8pkyLKUo_DkjMek5yocgT9WSjAhmNZeTuyxuRjNHUbNU9ci3YIXhL2WHrTnZuH-8tUpflp0iLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F47k1KXKw4wm-WwZdyEtEnetIJ057leLrdqDMybbOabIFlS4LmSvWR2SCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28138617&apptype=0&psid=190413716199281110361427348&entinfo=33277550696747_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 楼下地铁口 对面大润发 交通生活配套齐全 大型小区,2200元/月,群星新邨,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEokT2pv8525_gN0YsjIYqNcgT9WSjAhmNoXmm4N-lMdtfzY6khzL-AnhL2WHrTnZuljsQBRTbCxKLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F4-CLMLPaSnaaAj6lP2RrlhFIJ057leLrdqDMybbOabIF_e5mFO8BjTyCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28240397&apptype=0&psid=190413716199281110361427348&entinfo=33296521952044_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
单间 | 品质租房选自如 仅2290 全新家具家电 优质室友合,2200元/月,珠光新城御景二期,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfoa3z6OFZ1E0fX3X--lYISbcf-5NvxKrSqQx9Gm_-h616ShhMVyBWShfcGebxS_RY4C3NskCzYdbW6_Ka-kRM3l2bQFBJxIZMOkUyGyD1TweN3RaKjcjYRkOLH_ONrZJyq_TIqXFiI7yGgKQ0eYVkaR_GGRNvaJU8E7agNiTZOkKgl5A6UFjXZ2KtzPhO3qjrinQ4q_ZPMmZAYNef2U7aPeA&local=3&pubid=28353906&apptype=0&psid=190413716199281110361427348&entinfo=33311606910013_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
单间 | 凤安花园 招合租室友 小区物业环境好 房租月付,2200元/月,凤安花园,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfojv8bqP13ZU8WOh9JCzPVQsf-5NvxKrSqhoxf-5-FgUka0nm20WBxFvcGebxS_RY4EzVrWVGOfvyL5EgZP_B2z2bQFBJxIZMOkUyGyD1TweN3RaKjcjYRkBYlE_dQPYGb3FUV7FgV3LegKQ0eYVkaR_GGRNvaJU8EP6irI4HgcvMl5A6UFjXZ2KtzPhO3qjrinQ4q_ZPMmZAYNef2U7aPeA&local=3&pubid=28030251&apptype=0&psid=190413716199281110361427348&entinfo=33256110916809_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 芳信轩荔湾芳村电梯三房4200你值得拥有,2200元/月,芳信轩,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEie0DGhKg5C_ROWwy6AKuM8gT9WSjAhmNqjVfmWWNs15VR2koWvm8mHhL2WHrTnZuS_U5WghvJkKLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F489OEZ5UbpT9_HXkf4o2tzhIJ057leLrdqDMybbOabIF1fkDQ2HLIVSCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28109463&apptype=0&psid=190413716199281110361427348&entinfo=33263916418124_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 金碧新城 精装两房,2200元/月,金碧新城,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEqlDnwl-cVvBhnpl1F5yGqMgT9WSjAhmNWyZwqnMYHhBedD4jZP1XY3hL2WHrTnZuR0JmR7IRHSyLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F4zlkzu_MYS-R1s7k_l83QCBIJ057leLrdqDMybbOabIFENKdya9lBYKCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28270923&apptype=0&psid=190413716199281110361427348&entinfo=32061533433544_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 特惠WowWay公寓邻近潭村/员村地铁 精装公寓 专,2200元/月,岗顶,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tExyj0VVx27g6lnfRUsFrAusgT9WSjAhmN-8tJHA8uOF7UpxvB78lyOXhL2WHrTnZuP64pSO-HTQOLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F4yr18ymNraiLGk8VwyWjntlIJ057leLrdqDMybbOabIFkEPZ6Fq5SrqCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=27080165&apptype=0&psid=190413716199281110361427348&entinfo=32556564248500_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 地 铁 口 橡树园 便宜1室出租 时不待人,2200元/月,橡树园,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEFoyzntkDJ0WWVlMlRNuC6cgT9WSjAhmNtRAKTYtS0EtuQCH9vw3rp3hL2WHrTnZuhO9jY2xYwSkfbwbqPJ8OVmbQFBJxIZMOkUyGyD1TweOpeB-UK1L3QU4dqxymacYzPIMJF-6U8yJyukPmMkDu62eFWvNPmTtZqsYeanVBkpSOL46dYK_qEFT-1iM0Ga7-xWLwbW17c2BnSDbwK5_V16oj08mTC5as&local=3&pubid=28356018&apptype=0&psid=190413716199281110361427348&entinfo=33036272915787_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 地铁C2出口 免 采光好 方正温馨装修 好好好,2200元/月,穗和家园,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEfC65wu4RoH1pumjZUc6uU8gT9WSjAhmNs5OwnlLxxO8eArRGdEci3HhL2WHrTnZuomLlgeiDqBSLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F47Xt_j4lw-NqFWXXEdAup4VIJ057leLrdqDMybbOabIFjvhOSIsevv2CCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=28307493&apptype=0&psid=190413716199281110361427348&entinfo=33313441714611_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 地 铁 物 业 天河北苑 交通便捷 精装大2房 双阳,2200元/月,天河北苑,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEGMdetG_9HKQty5EzAC_Uh8gT9WSjAhmNfDu3SM8V9dEovr1GydwobHhL2WHrTnZuhO9jY2xYwSkfbwbqPJ8OVmbQFBJxIZMOkUyGyD1TweOpeB-UK1L3QetpuhGnvuEq0XcG1MpB379yukPmMkDu62eFWvNPmTtZqsYeanVBkpSOL46dYK_qEFT-1iM0Ga7-xWLwbW17c2BnSDbwK5_V16oj08mTC5as&local=3&pubid=28354369&apptype=0&psid=190413716199281110361427348&entinfo=33322469134026_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 户型简约实用，性价比高,2200元/月,都市品格,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEL1d84srhQeDAhFyibJ9iH8gT9WSjAhmNFiKgqhYeA97YsG0KwH3n6nhL2WHrTnZud5yGnc1bmSuLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F4_bb14kxUiYgni0LLMWqk9pIJ057leLrdqDMybbOabIFjWHJ2uZBsjKCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=27901701&apptype=0&psid=190413716199281110361427348&entinfo=33221961440297_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 《万虹花园》量贩复式房 精装放租 租价2500可谈,2200元/月,万虹花园,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEI9oksNSRVlKIA7BlvrxKFMgT9WSjAhmN4-IjoL1pUhZUPQ0p_S5xvHhL2WHrTnZutXawz5yFKiGL5EgZP_B2z2bQFBJxIZMOkUyGyD1TweOpeB-UK1L3Qa10IqhUuYhwj8TnFBQhHY9yukPmMkDu62eFWvNPmTtZVoUR2FGiXHmOL46dYK_qEFT-1iM0Ga7-xWLwbW17c2BnSDbwK5_V16oj08mTC5as&local=3&pubid=28024135&apptype=0&psid=190413716199281110361427348&entinfo=33255236716331_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 金玫瑰园 实用一房一厅,2200元/月,金玫瑰苑,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE7xrujairVUQHYRsLgUmfCMgT9WSjAhmNo91RxTp2Y3tIU38OuV9-6XhL2WHrTnZu5WXQFc_APeAfbwbqPJ8OVmbQFBJxIZMOkUyGyD1TweOpeB-UK1L3QRts4bHXCp7G_Eyx2jzQVaJyukPmMkDu62eFWvNPmTtZWk1a8CRLe22OL46dYK_qEFT-1iM0Ga7-xWLwbW17c2BnSDbwK5_V16oj08mTC5as&local=3&pubid=28383934&apptype=0&psid=190413716199281110361427348&entinfo=32936091629363_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 山海名门一房 南向望花园靓1室1厅 主卧 朝南 精装,2200元/月,山海名门,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEvow3ZlqXUdbk9KQ15eFfQMgT9WSjAhmNbNAcPEHkIbcip8NiTKD3gnhL2WHrTnZuH-8tUpflp0iLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F44cTpQQYLnOG2PDV5JtQ7cNIJ057leLrdqDMybbOabIFlS4LmSvWR2SCCTzo_2_RRfj72RQY6T83Sb-Woj85FQvI3_fFKXSWLA&local=3&pubid=27997808&apptype=0&psid=190413716199281110361427348&entinfo=33252337997775_0&cookie=|||c5/njVqfX VgGiYQA0rzAg==&fzbref=0&key=&params=busitime^desc
整租 | 同和云涛花园 精装居家2房 近地铁口 生活便利 家私,2200元/月,云涛花园,http://gz.58.com/zufang/33312508053069x.shtml
整租 | 棠下 棠德花园 漂亮两房 初次放租 看见了就不要错过,2200元/月,棠德花苑,http://gz.58.com/zufang/33312503001782x.shtml
"整租 | 毗邻南站,地铁上线,中装西南向距地铁300米小区两房",2200元/月,东盛大厦,http://short.58.com/zd_p/1c65ac27-82e6-4300-a3e6-c47198891a7f/?target=bh-16-xgk_hvimob_83244072819075q-feykn&end=end
整租 | 东山·铭泰公馆 1室0厅1卫,2200元/月,东山·铭泰公馆,http://short.58.com/zd_p/38ab4eb3-d2e9-46ff-8ae6-a0b703bf59eb/?target=bh-16-xgk_hvimob_32088422023889q-feykn&end=end
整租 | 天河北蝌蚪公寓 LOFT大空间公寓 近地铁 全新即住,2200元/月,林和西小区,http://short.58.com/zd_p/d52de06d-739c-4c49-bd4a-a7f57c412e64/?target=bh-16-xgk_hvimob_83547713995982q-feykn&end=end
单间 | 品质租房选自如 仅2490 潭村地铁站100米 南国,2200元/月,南国花园,http://short.58.com/zd_p/b77cb6fa-158b-490f-9ec2-2e5b4cc79d5f/?target=bh-16-xgk_ephv_88877907776754q-feykn&end=end
整租 | 全新WowWay公寓北京路社区，300米到公园前地铁,2200元/月,公园前,http://short.58.com/zd_p/0b8156d1-ca3b-44d8-a822-613971323233/?target=bh-16-xgk_hvimob_83831692777370q-feykn&end=end
整租 | 地铁站上盖旁3号线人和大两房电梯洋房红璞公寓穗和家园,2200元/月,穗和家园,http://short.58.com/zd_p/bfdd0528-3ebb-4c41-9f7e-811a176dba4d/?target=bh-16-xgk_hvimob_88419960906313q-feykn&end=end
整租 | 番禺南村 南兴花园 一楼带小花园 80平方3室2卫,2200元/月,南村南兴花园,http://short.58.com/zd_p/5b4fa34c-7c80-4cd6-bd8e-8f64c1c15279/?target=bh-16-xgk_hvimob_88877456826175q-feykn&end=end
单间 | 【急转租！】林和村次卧 限女生单人 精装修 可靠房源,2200元/月,广州,http://short.58.com/zd_p/98f8a19e-4fda-4725-8afa-eb0776f5bf7e/?target=bh-16-xgk_ephv_83094517600217q-feykn&end=end
整租 | 岗顶金地旗下青年公寓 近BRT棠下站 全新家电特色装,2200元/月,东园小区,http://short.58.com/zd_p/040a1d8d-f96f-442f-90d8-500c10c854ca/?target=bh-16-xgk_hvimob_83658908669623q-feykn&end=end
整租 | 开业钜惠92折 泊寓滨江东/临珠江新城/近鹭江站/配,2200元/月,江景苑,http://short.58.com/zd_p/bbb67422-9c1c-4fb6-b574-8a7cdc88be7d/?target=bh-16-xgk_hvimob_88347349397634q-feykn&end=end
单间 | 地铁5号线五羊邨店 临近CBD 闹中取静 小区公寓,2200元/月,东山月府,http://short.58.com/zd_p/48c93e11-0422-49a4-92a6-bea0ce5fb89e/?target=bh-16-xgk_ephv_83080972469131q-feykn&end=end
单间 | 海港花园主卧（带独立卫生间）出租,2200元/月,海港花园,http://short.58.com/zd_p/1cfc5ebc-a75f-4a23-ad2c-981dcdddb935/?target=bh-16-xgk_ephv_88726773247551q-feykn&end=end
整租 | 有趣的灵魂和美丽的皮囊我们！都！要！！,2200元/月,晓港雅筑,http://short.58.com/zd_p/49f66c78-ae71-41bc-b9eb-f3083e3e5825/?target=bh-16-xgk_hvimob_88846470802808q-feykn&end=end
整租 | 六号线萝岗线坑花园小区一房一厅出租非中介,2200元/月,线坑花园,http://short.58.com/zd_p/00aedb99-8a22-4d8b-ab2b-1dfe8b9dd4f2/?target=bh-16-xgk_hvimob_88398592291351q-feykn&end=end
整租 | 元宵钜惠92折/泊寓滨江东/5种户型随心选/全新家具,2200元/月,猎德花园,http://short.58.com/zd_p/0c223135-cb48-4a29-8876-c60f8bd89811/?target=bh-16-xgk_hvimob_88360700704742q-feykn&end=end
整租 | 西门口地铁口 超大两房 光线很好 厅出阳台 随时约看,2200元/月,海珠北路大院,http://short.58.com/zd_p/6a3d40d7-2ad1-4a87-934a-67a92c146604/?target=bh-16-xgk_hvimob_88833318550501q-feykn&end=end
整租 | 开业钜惠92折/泊寓滨江东/近鹭江站/全新家具家私/,2200元/月,中信君庭,http://short.58.com/zd_p/ba24051c-3aa5-4fed-8149-0c1d8d04f511/?target=bh-16-xgk_hvimob_88346430297478q-feykn&end=end
整租 | 岭南新世界两房两厅一卫，南向通风好彩光足，地铁口附近,2200元/月,岭南新世界,http://short.58.com/zd_p/c16ad37f-30fa-456c-9b3a-e10c5c221170/?target=bh-16-xgk_hvimob_88832014554095q-feykn&end=end
整租 | 悠家公寓 全新 出租 家电全新齐全 一室一厅一卫 阳,2200元/月,珠影小区,http://short.58.com/zd_p/5fc7cf7a-30c4-414a-a0af-8b9a3afb8c76/?target=bh-16-xgk_hvimob_88357539378284q-feykn&end=end
